steps,k,alpha,omega,direct,hybrid,gb
1,1,7,2.81,131.45220781590547,51.80615605397529,143.275622272227
1,2,7,2.81,142.7522454743778,140.04828928951312,154.76602773268633
1,3,7,2.81,154.0752689283561,244.82967172001108,166.26647988801258
1,4,7,2.81,165.4183515840597,350.1298952679839,177.77569954638878
2,1,7,2.81,268.1150397397929,96.2114326716684,281.6248314763314
2,2,7,2.81,279.572892013459,268.40055632598677,293.1842139188385
2,3,7,2.81,291.0374950369671,467.8459467282811,304.746546872156
2,4,7,2.81,302.5083616310597,667.8101782480537,316.3116173996169
3,1,7,2.81,405.96829066286597,140.6167092893615,420.49433592978943
3,2,7,2.81,417.48352424388753,396.75282336246045,432.0787973764283
3,3,7,2.81,429.0019339359344,690.8622217365372,443.66464694813357
3,4,7,2.81,440.5233597965379,985.490461228092,455.25181473941376
4,1,7,2.81,544.3305774197313,185.0219859070546,559.5863166142713
4,2,7,2.81,555.8754914958027,525.1050903989341,571.1837498730262
4,3,7,2.81,567.4222449520097,913.8784967447932,582.7819870220933
4,4,7,2.81,578.9707666554926,1303.1707442081306,594.3809969723803
5,1,7,2.81,682.9770845303739,229.4272625247477,698.8025145025405
5,2,7,2.81,694.5401371071528,653.4573574354079,710.4078750446766
5,3,7,2.81,706.1043879135816,1136.8947717530493,722.0137592599141
5,4,7,2.81,717.6697993389187,1620.851027188169,733.6201507104837
6,1,7,2.81,821.8053100455327,273.8325391424408,838.0981305645951
6,2,7,2.81,833.3805958058533,781.8096244718814,849.7088374648525
6,3,7,2.81,844.9567236289628,1359.9110467613054,861.3199123763206
6,4,7,2.81,856.5336712727458,1938.5313101682077,872.9313455781977
