n,d,omega,step1_best_method,step1_best_log2,step4_best_method,step4_best_log2,dixon_max_log2,previous_step4_log2,increase_log2,GB (Classical),GB (F5),GB (F5 refined),GB (per-deg),FGLM,BNS order change
5,2,2.37,Kronecker + HNF,19.57978518193388,HNF,16.101720386873026,19.57978518193388,16.101720386873026,3.4780647950608525,20.978645228156058,23.18965247247723,21.38778841415144,19.400926900937925,14.171928094887363,8.889479255002158
5,3,2.37,Kronecker + HNF,26.40881414684985,HNF,23.08672501958857,26.40881414684985,23.08672501958857,3.322089127261279,28.65983442398005,30.46416372238776,29.18824758351552,26.3079251152996,21.103733728433063,15.019886262559872
5,4,2.37,Kronecker + HNF,30.84048696016781,HNF,27.833164362221105,30.84048696016781,27.833164362221105,3.007322597946704,33.92102855931941,35.33613394710416,34.497982748199085,31.005995942767676,26.021928094887365,19.369479255002158
5,5,2.37,Kronecker + HNF,34.13287022421666,HNF,31.436520546683287,34.13287022421666,31.436520546683287,2.696349677533373,37.93270648890295,39.009879459457736,38.535962309599356,34.577922619230954,29.836776019302608,22.74328568942171
5,6,2.37,Kronecker + HNF,36.754904292411204,HNF,34.34282009946481,36.754904292411204,34.34282009946481,2.412084192946395,41.17737475947319,41.961266901767786,41.79711624910321,37.462366107738575,32.953733728433065,25.499886262559876
5,7,2.37,Kronecker + HNF,38.93439448721657,HNF,36.77885405215519,38.93439448721657,36.77885405215519,2.1555404350613827,43.902293288628506,44.42866502536751,44.533331282870975,39.88237315415816,35.589083921269975,27.83055883816585
5,8,2.37,Kronecker + HNF,40.79957291018477,HNF,38.87596291028366,40.79957291018477,38.87596291028366,1.9236099999011103,46.25143306634116,46.548857496609024,46.89069361985524,41.967243922164556,37.871928094887366,29.84947925500216
5,9,2.37,Kronecker + HNF,42.42986979826542,HNF,40.71710691983885,42.42986979826542,40.71710691983885,1.7127628784265738,48.316095659364294,48.40770350789767,48.96160848734776,43.798744073353404,39.885539361978765,31.63029327011759
5,10,2.37,Kronecker + HNF,43.877931238087704,HNF,42.35806368368682,43.877931238087704,42.35806368368682,1.5198675544008822,50.15785555438453,50.06266712973952,50.808282395363946,45.43190852850924,41.686776019302606,33.223285689421715
5,11,2.37,Kronecker + HNF,45.18046154480922,HNF,43.8381485124225,45.18046154480922,43.8381485124225,1.3423130323867198,51.82021996417437,51.554111820639754,52.47461048130704,46.905567656157025,43.31619277573934,34.66432261832104
5,12,2.37,Kronecker + HNF,46.36407720076965,HNF,45.186118914618866,46.36407720076965,45.186118914618866,1.1779582861507834,53.335075809034386,52.911480920838365,53.992730923681094,48.2481492884563,44.803733728433066,35.97988626255987
5,13,2.37,Kronecker + HNF,47.448697062878516,HNF,46.4236474926254,47.448697062878516,46.4236474926254,1.0250495702531168,54.726493742476485,54.156914696930244,55.38688426398185,49.48109425634262,46.17213875485931,37.1900875011208
5,14,2.37,Kronecker + HNF,48.449617556697405,HNF,47.56747433322483,48.449617556697405,47.56747433322483,0.8821432234725748,56.013091989505966,55.30748311540874,56.675807709098784,50.62097502915933,47.439083921269976,38.310558838165846
5,15,2.37,Kronecker + HNF,49.378841328706216,HNF,48.63079920988346,49.378841328706216,48.63079920988346,0.7480421188227524,57.20956872624888,56.376625318662676,57.874285244790414,51.68086719689081,48.61858165284831,39.35369269697944
5,16,2.37,Kronecker + HNF,50.24596021145282,HNF,49.6242147015084,50.24596021145282,49.6242147015084,0.621745509944418,58.3277311134576,57.37511179983503,58.99418747394042,52.671269397731805,49.72192809488737,40.329479255002155
5,17,2.37,Kronecker + HNF,51.05876072838523,HNF,50.5563507384146,51.05876072838523,50.5563507384146,0.50240998997063,59.37720727092087,58.31170748493194,60.04519043162191,53.6007391979203,50.758362763703886,41.24608983130571
5,18,2.37,Kronecker + HNF,51.82365063131087,HNF,51.43433147576106,51.82365063131087,51.43433147576106,0.38931915554980634,60.365951676702295,59.1936408139039,61.03528545962592,54.47634411371065,51.735539361978766,42.110293270117594
5,19,2.37,Kronecker + HNF,52.545966433148806,HNF,52.26410648514026,52.545966433148806,52.26410648514026,0.2818599480085453,61.30061200351846,60.02694319677842,61.97114905484838,55.30398875572125,52.65986912919385,42.92775959589093
