steps,k,alpha,omega,direct_step1,direct_step3,direct_step4,direct_total,hybrid_route,P1,P2,P3,hybrid_total
1,1,7,2.81,121.87112862268324,124.94441317570679,131.45220781590547,131.45220781590547,optimized two-polynomial,,,,51.80615605397529
1,2,7,2.81,131.529641526293,136.1375356302626,142.7522454743778,142.7522454743778,P1/P2/P3,50.57520161913541,78.92262242339352,140.04828928951312,140.04828928951312
1,3,7,2.81,141.16996575342603,147.36102341069,154.0752689283561,154.0752689283561,P1/P2/P3,52.89712971402278,111.22183890124298,244.82967172001108,244.82967172001108
1,4,7,2.81,150.7937355133849,158.6109966620021,165.4183515840597,165.4183515840597,P1/P2/P3,54.77159883193892,143.27722548051022,350.1298952679839,350.1298952679839
2,1,7,2.81,236.8522548895776,260.6638286279606,268.1150397397929,268.1150397397929,optimized two-polynomial,,,,96.2114326716684
2,2,7,2.81,246.36757484428568,272.0650973732603,279.572892013459,279.572892013459,P1/P2/P3,94.98047823682852,146.2991402558612,268.40055632598677,268.40055632598677
2,3,7,2.81,255.87570489941322,283.475252612746,291.0374950369671,291.0374950369671,P1/P2/P3,97.30240633171589,212.28661609449776,467.8459467282811,467.8459467282811
2,4,7,2.81,265.3770749154036,294.8936517869445,302.5083616310597,302.5083616310597,P1/P2/P3,99.17687544963202,278.03026173819774,667.8101782480537,667.8101782480537
3,1,7,2.81,350.6405582101743,397.9514823751794,405.96829066286597,405.96829066286597,optimized two-polynomial,,,,140.6167092893615
3,2,7,2.81,360.09146999297957,409.42824180838636,417.48352424388753,417.48352424388753,P1/P2/P3,139.38575485452165,213.67565838524368,396.75282336246045,396.75282336246045
3,3,7,2.81,369.5385884118408,420.90917679501456,429.0019339359344,429.0019339359344,P1/P2/P3,141.707682949409,313.3513932885715,690.8622217365372,690.8622217365372
3,4,7,2.81,378.982081083502,432.3940767795929,440.5233597965379,440.5233597965379,P1/P2/P3,143.58215206732515,412.78329799696274,985.490461228092,985.490461228092
4,1,7,2.81,463.8332920405636,535.9085126535584,544.3305774197313,544.3305774197313,optimized two-polynomial,,,,185.0219859070546
4,2,7,2.81,473.2477481753192,547.4242803839704,555.8754914958027,555.8754914958027,P1/P2/P3,183.79103147221474,281.0521765146262,525.1050903989341,525.1050903989341
4,3,7,2.81,482.6598689265868,558.9424646879806,567.4222449520097,567.4222449520097,P1/P2/P3,186.11295956710208,414.41617048264527,913.8784967447932,913.8784967447932
4,4,7,2.81,492.0697359772606,570.462972015294,578.9707666554926,578.9707666554926,P1/P2/P3,187.98742868501824,547.5363342557278,1303.1707442081306,1303.1707442081306
5,1,7,2.81,576.6687232685832,674.2389922707533,682.9770845303739,682.9770845303739,optimized two-polynomial,,,,229.4272625247477
5,2,7,2.81,586.059744269617,685.7785858747083,694.5401371071528,694.5401371071528,P1/P2/P3,228.19630808990786,348.42869464400866,653.4573574354079,653.4573574354079
5,3,7,2.81,595.4491848504213,697.319753068024,706.1043879135816,706.1043879135816,P1/P2/P3,230.5182361847952,515.480947676719,1136.8947717530493,1136.8947717530493
5,4,7,2.81,604.8370907288722,708.8624444168611,717.6697993389187,717.6697993389187,P1/P2/P3,232.39270530271136,682.2893705144927,1620.851027188169,1620.851027188169
6,1,7,2.81,689.26583866969,812.8081305645951,821.8053100455327,821.8053100455327,optimized two-polynomial,,,,273.8325391424408
6,2,7,2.81,698.6405309845641,824.3637875181668,833.3805958058533,833.3805958058533,P1/P2/P3,272.601584707601,415.8052127733912,781.8096244718814,781.8096244718814
6,3,7,2.81,708.0140833589571,835.9205500164093,844.9567236289628,844.9567236289628,P1/P2/P3,274.92351280248835,616.5457248707928,1359.9110467613054,1359.9110467613054
6,4,7,2.81,717.3865239011144,847.4783888372446,856.5336712727458,856.5336712727458,P1/P2/P3,276.7979819204045,817.0424067732578,1938.5313101682077,1938.5313101682077
